MState.conjTensorUnitary'	def	public	37fa7bca3a7b2a37	QuantumInfo/Entropy/DPI.lean	980
conjTensorUnitary'_entry	lemma	public	9ee53736579dc37a	QuantumInfo/Entropy/DPI.lean	985
prod_traceRight_uniform_entry	lemma	public	a94565787d827f33	QuantumInfo/Entropy/DPI.lean	993
twirling_average_eq	theorem	public	7f21823163684ea1	QuantumInfo/Entropy/DPI.lean	1006
ker_conj_le_of_ker_le	lemma	public	a5dd5628aa60886e	QuantumInfo/Entropy/DPI.lean	1065
MState.ker_conjTensorUnitary_le	lemma	public	e4530cea4e2a6883	QuantumInfo/Entropy/DPI.lean	1073
sandwichedTraceFunctional_mono_traceRight	theorem	public	1593ef06cebb868d	QuantumInfo/Entropy/DPI.lean	1083
vecTensorBasis	def	private	6591df47efd2235d	QuantumInfo/Entropy/DPI.lean	1129
inner_traceRight_eq_sum_inner_vecTensorBasis	lemma	private	b685e2be5825456a	QuantumInfo/Entropy/DPI.lean	1134
traceRight_mulVec_zero_of_vecTensorBasis_zero	lemma	private	29f278415eaca19e	QuantumInfo/Entropy/DPI.lean	1153
ker_le_traceRight	theorem	public	6d03fdff15decf3e	QuantumInfo/Entropy/DPI.lean	1177
sandwichedRenyiEntropy_mono_traceRight	theorem	public	3291c889f3b92e3a	QuantumInfo/Entropy/DPI.lean	1209
sandwichedRenyiEntropy_conj_unitary	theorem	public	a20c2d6d49e642e4	QuantumInfo/Entropy/DPI.lean	1230
sandwichedRenyiEntropy_tensor_pure	theorem	public	62ad450e0234c220	QuantumInfo/Entropy/DPI.lean	1286
sandwichedRenyiEntropy_SWAP	theorem	public	819393c438a2d18a	QuantumInfo/Entropy/DPI.lean	1292
sandwichedRenyiEntropy_mono_traceRight'	theorem	public	29c15fd0a1e572aa	QuantumInfo/Entropy/DPI.lean	1301
sandwichedRenyiEntropy_mono_traceLeft	theorem	public	66eeabefdd4f98e0	QuantumInfo/Entropy/DPI.lean	1313
prep_append_eq_tensor_pure	theorem	public	25361a0748900aab	QuantumInfo/Entropy/DPI.lean	1326
sandwichedRenyiEntropy_DPI_gt_one	theorem	public	8df43a1ec4bdda3a	QuantumInfo/Entropy/DPI.lean	1348
sandwichedRenyiEntropy_DPI_eq_one	theorem	public	9f62cc8ad3493bcb	QuantumInfo/Entropy/DPI.lean	1384
sandwichedRenyiEntropy_DPI	theorem	public	ed7bde460e4204c6	QuantumInfo/Entropy/DPI.lean	1400
sandwichedRelRentropy_tendsto_qRelativeEnt	theorem	public	cc7be688c4903729	QuantumInfo/Entropy/DPI.lean	1423
sandwichedTraceFunctional_sub_one_div_eventually_le	lemma	private	7524739623b695ad	QuantumInfo/Entropy/DPI.lean	1432
mix_M_eq_weighted_sum	lemma	private	084bb417fcd21743	QuantumInfo/Entropy/DPI.lean	1485
ker_mix_le	lemma	private	df5d26a9647635b5	QuantumInfo/Entropy/DPI.lean	1493
sandwichedTraceFunctional_mix_le	lemma	private	b40965264d3de5d7	QuantumInfo/Entropy/DPI.lean	1504
qRelativeEnt_joint_convexity	theorem	public	9cdf38b9728470bc	QuantumInfo/Entropy/DPI.lean	1522
Prob	def	public	77e41d5b9f69f716	QuantumInfo/ClassicalInfo/Prob.lean	36
instance@40	instance	public	30a85e6ce1b4d637	QuantumInfo/ClassicalInfo/Prob.lean	40
canLift	instance	public	bb358a9a152c85da	QuantumInfo/ClassicalInfo/Prob.lean	42
instZero	instance	public	f56703242fa49db9	QuantumInfo/ClassicalInfo/Prob.lean	45
instOne	instance	public	490e3dff852183a3	QuantumInfo/ClassicalInfo/Prob.lean	48
instMul	instance	public	8c9112e5e555e466	QuantumInfo/ClassicalInfo/Prob.lean	51
coe_zero	theorem	public	fded5128371de0ca	QuantumInfo/ClassicalInfo/Prob.lean	56
coe_one	theorem	public	29b45d6a56f5f5d4	QuantumInfo/ClassicalInfo/Prob.lean	60
coe_mul	theorem	public	c1a8c9ba6094c580	QuantumInfo/ClassicalInfo/Prob.lean	64
coe_inf	theorem	public	cfeed96fc0cd65d6	QuantumInfo/ClassicalInfo/Prob.lean	68
coe_sup	theorem	public	d72e3ef5fe380c59	QuantumInfo/ClassicalInfo/Prob.lean	72
instCommMonoidWithZero	instance	public	99194c2449b32637	QuantumInfo/ClassicalInfo/Prob.lean	75
instDenselyOrdered	instance	public	79d5e254eb1b8c82	QuantumInfo/ClassicalInfo/Prob.lean	83
instCompleteLinearOrder	instance	public	419acc6f379618dd	QuantumInfo/ClassicalInfo/Prob.lean	86
instInhabited	instance	public	c3474dd186608dae	QuantumInfo/ClassicalInfo/Prob.lean	89
instance@93	instance	public	e7870041271cf3c9	QuantumInfo/ClassicalInfo/Prob.lean	93
zero_le_coe	theorem	public	e3bfe203e9c9bf96	QuantumInfo/ClassicalInfo/Prob.lean	101
coe_le_one	theorem	public	339061b00f8648d6	QuantumInfo/ClassicalInfo/Prob.lean	105
zero_le	theorem	public	3a3ce68739ca046d	QuantumInfo/ClassicalInfo/Prob.lean	109
le_one	theorem	public	17b270167f1cf4cd	QuantumInfo/ClassicalInfo/Prob.lean	113
ne_iff	theorem	public	ef13cc70daab152f	QuantumInfo/ClassicalInfo/Prob.lean	119
toReal_mul	theorem	public	58e8bcc52e0dcb9e	QuantumInfo/ClassicalInfo/Prob.lean	123
toNNReal_mk	theorem	public	07a31c60d3c3a3c6	QuantumInfo/ClassicalInfo/Prob.lean	131
instance@134	instance	public	85cf75761e83143d	QuantumInfo/ClassicalInfo/Prob.lean	134
canLiftNN	instance	public	e8a2aeac8a1d4b3a	QuantumInfo/ClassicalInfo/Prob.lean	136
toNNReal_zero	theorem	public	8178deef6a8797d0	QuantumInfo/ClassicalInfo/Prob.lean	145
toNNReal_one	theorem	public	6f52ac04c02739d8	QuantumInfo/ClassicalInfo/Prob.lean	149
ofNNReal_toNNReal	theorem	public	722f5dc186fd3ddd	QuantumInfo/ClassicalInfo/Prob.lean	152
NNReal.asProb	def	public	05936b46fdec7dda	QuantumInfo/ClassicalInfo/Prob.lean	156
NNReal.asProb'	def	public	4c5d20b4634f136b	QuantumInfo/ClassicalInfo/Prob.lean	159
zero_lt_coe	theorem	public	1c0eaeefeac245de	QuantumInfo/ClassicalInfo/Prob.lean	162
